r,J
-0.018743891229990255,167.19220771452845
-0.018618995737005553,166.02605989175836
-0.018494100244020848,164.8712036257967
-0.018369204751036143,163.72754874492043
-0.01824430925805144,162.59500305826825
-0.01811941376506674,161.47347253027488
-0.017994518272082035,160.3628614548919
-0.01786962277909733,159.2630726283195
-0.01774472728611263,158.17400751908235
-0.017619831793127927,157.09556643440266
-0.017494936300143222,156.0276486819469
-0.017370040807158517,154.97015272614712
-0.017245145314173815,153.92297633842247
-0.01712024982118911,152.88601674075306
-0.016995354328204405,151.85917074217326
-0.016870458835219704,150.84233486786982
-0.016745563342235,149.8354054806745
-0.016620667849250294,148.83827889484354
-0.016495772356265592,147.85085148210624
-0.016370876863280887,146.87301977004807
-0.016245981370296182,145.9046805329694
-0.01612108587731148,144.94573087542236
-0.015996190384326776,143.99606830868385
-0.01587129489134207,143.05559082047006
-0.01574639939835737,142.12419693823017
-0.015621503905372666,141.2017857863841
-0.015496608412387963,140.28825713788814
-0.01537171291940326,139.38351146051747
-0.015246817426418556,138.48744995825666
-0.015121921933433853,137.59997460818215
-0.01499702644044915,136.72098819320416
-0.014872130947464446,135.8503943310171
-0.014747235454479743,134.98809749958215
-0.01462233996149504,134.13400305943458
-0.014497444468510336,133.28801727308016
-0.014372548975525633,132.45004732170992
-0.01424765348254093,131.6200013194318
-0.014122757989556227,130.79778832518542
-0.013997862496571523,129.9833183524822
-0.013872967003586818,129.1765023770854
-0.013748071510602115,128.37725234273015
-0.013623176017617412,127.58548116496921
-0.013498280524632707,126.80110273322498
-0.013373385031648003,126.02403191112909
-0.0132484895386633,125.2541845352352
-0.013123594045678597,124.49147741220585
-0.012998698552693894,123.73582831458583
-0.01287380305970919,122.98715597529736
-0.012748907566724487,122.24538008100996
-0.012624012073739784,121.51042126455904
-0.01249911658075508,120.7822010966048
-0.012374221087770377,120.06064207673697
-0.012249325594785674,119.34566762423852
-0.01212443010180097,118.63720206872325
-0.011999534608816267,117.93517064085657
-0.011874639115831562,117.23949946335082
-0.01174974362284686,116.5501155424058
-0.011624848129862156,115.86694675973088
-0.011499952636877451,115.18992186524598
-0.011375057143892748,114.51897047051452
-0.011250161650908044,113.85402304291033
-0.011125266157923341,113.19501090047059
-0.011000370664938638,112.54186620733614
-0.010875475171953934,111.89452196963391
-0.010750579678969231,111.25291203161366
-0.010625684185984528,110.6169710718202
-0.010500788692999825,109.98663459905954
-0.010375893200015121,109.36183894790571
-0.010250997707030418,108.74252127349999
-0.010126102214045715,108.12861954541047
-0.010001206721061012,107.52007254034866
-0.009876311228076307,106.91681983358434
-0.009751415735091603,106.31880178895295
-0.0096265202421069,105.72595954741134
-0.009501624749122195,105.13823501416634
-0.009376729256137492,104.55557084447196
-0.009251833763152788,103.97791042826056
-0.009126938270168085,103.40519787383872
-0.009002042777183382,102.83737799093734
-0.008877147284198679,102.27439627345285
-0.008752251791213975,101.71619888224862
-0.008627356298229272,101.1627326284053
-0.008502460805244569,100.61394495730727
-0.008377565312259866,100.06978393393717
-0.008252669819275162,99.53019822971319
-0.008127774326290459,98.99513711115371
-0.008002878833305756,98.46455043058656
-0.00787798334032105,97.93838861904173
-0.0077530878473363474,97.41660268137834
-0.007628192354351644,96.89914419360402
-0.007503296861366941,96.38596530225095
-0.007378401368382238,95.877018725582
-0.0072535058753975335,95.37225775631589
-0.007128610382412829,94.8716362654888
-0.007003714889428126,94.3751087070111
-0.006878819396443423,93.88263012243735
-0.0067539239034587195,93.39415614544725
-0.006629028410474016,92.90964300553443
-0.006504132917489313,92.42904753042188
-0.00637923742450461,91.95232714676393
-0.0062543419315199055,91.47943987875759
-0.006129446438535201,91.01034434436254
-0.006004550945550498,90.54499974892283
-0.005879655452565795,90.08336587608675
-0.005754759959581092,89.62540307602852
-0.005629864466596388,89.17107225108826
-0.005504968973611685,88.72033483905429
-0.005380073480626982,88.27315279441304
-0.005255177987642278,87.82948856798157
-0.0051302824946575735,87.38930508541227
-0.00500538700167287,86.95256572511734
-0.004880491508688167,86.51923429619437
-0.004755596015703464,86.08927501694987
-0.00463070052271876,85.66265249460962
-0.004505805029734057,85.23933170676904
-0.004380909536749354,84.81927798508914
-0.00425601404376465,84.40245700166615
-0.0041311185507799456,83.98883475841625
-0.004006223057795242,83.57837757971156
-0.003881327564810539,83.17105210839286
-0.0037564320718258357,82.76682530516337
